,RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
11,13,Ireland,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408,2021.0,6.827651978,11.54503345,0.849838138,71.30000305,0.846344113,0.133829191,0.360423386,0.732733727,0.245210573,0.623389423
12,14,Germany,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358,2021.0,6.754523754,10.87341213,0.86758256,71.30000305,0.778439999,0.07768628,0.417581916,0.70333302,0.251194686,0.604759932
13,15,Canada,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368,2021.0,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.762826681,0.276232809,0.610411167
14,16,United States,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.22,0.177,2021.0,6.959087849,11.05517292,0.920008719,65.84999847,0.815734804,0.192203477,0.686591566,0.739682019,0.277191907,0.404625207
15,17,United Kingdom,6.943,7.018,6.867,1.967,1.867,1.143,0.75,0.597,0.289,0.329,2021.0,6.866961956,10.71970272,0.854029596,70.30000305,0.815077186,0.254903495,0.447526574,0.683882475,0.265625894,0.394753993
16,18,Czechia,6.92,7.029,6.811,2.263,1.815,1.26,0.715,0.66,0.158,0.048,2021.0,6.942496777,10.58128357,0.950226784,69.05000305,0.890521467,0.163303927,0.8625741,0.716166556,0.239848629,0.284475416
17,20,France,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266,2021.0,6.656206608,10.71656609,0.914597511,72.30000305,0.836917698,-0.100719824,0.56081295,0.684601307,0.268417448,0.433520496
18,22,Slovenia,6.63,6.718,6.542,1.885,1.81,1.249,0.769,0.685,0.118,0.115,2021.0,6.761220932,10.57335091,0.955252588,71.05000305,0.851086736,0.030901229,0.754198194,0.642823279,0.261042506,0.339235812
19,23,Costa Rica,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102,2021.0,6.408448219,9.938294411,0.87605232,70.0,0.886652231,-0.023066543,0.781826913,0.774057925,0.317840338,0.315308332
20,28,Romania,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006,2021.0,6.548725605,10.33434677,0.834509134,67.05000305,0.870957971,-0.182472154,0.928280115,0.673982322,0.264397413,0.192293614
21,29,Spain,6.476,6.56,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149,2021.0,6.469611168,10.53658772,0.926416755,72.34999847,0.781794965,-0.071897864,0.729346991,0.639074683,0.323980331,0.371703804
22,30,Uruguay,6.474,6.562,6.386,1.974,1.615,1.18,0.672,0.665,0.103,0.265,2021.0,6.501700401,10.01091671,0.913873136,67.5,0.8987239,-0.047106676,0.60564214,0.746208131,0.26320982,0.485830873
23,31,Italy,6.467,6.57,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059,2021.0,6.4667449,10.63541317,0.885533631,72.05000305,0.702845216,-0.091751009,0.862317502,0.634286821,0.318436861,0.354293913
24,34,Lithuania,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077,2021.0,6.864572525,10.57164574,0.928175211,67.40000153,0.707402527,-0.117042378,0.877800763,0.66699332,0.191300765,0.303830445
